time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.9542112489299726e-05,2.629335977669406e-09,10.000766450074492,6.283176039859253,0.006143381638151091,0.0,-0.001186721790478297,-1.8471371897440384e-07,0.025546768395203263,-0.0006274306538967721,0.025978046800585977,0.0,411.8118237192389,414.1028504070402,412.275738320061,412.2203129261582
0.12000000000000001,-0.00021049349431527666,8.317687484453987e-06,10.003258497047486,0.0021748131775591872,0.007701583012161173,0.0,-0.005321596332605177,0.000494298572309905,0.05751891980088006,-0.018199550776081822,0.025953731106086276,0.0,414.90072624409686,414.898777592777,415.396256668956,413.8528225742883
0.18,-0.0007549022676818398,9.027843197760941e-05,10.014101158801726,0.0018403607462156302,0.014229100960225338,0.0,-0.013664216360847449,0.002185871056579485,0.30386126325195195,-0.009790079401141596,0.00030219457930475563,0.0,482.69248453233627,480.753072251873,480.2063431865053,480.8438322054473
0.23999999999999996,-0.0018616872869084457,0.00025959067626959797,10.0346386398266,0.002393334552282411,0.01484169423536219,0.0,-0.023298302913818583,0.0035019222594995154,0.3806972499911502,0.0007694274511617877,-0.00942859655203766,0.0,430.9377189602441,430.1145853262177,428.2665757263936,429.1637321227942
0.3,-0.0036193786469027834,0.0005295776730507142,10.063624968609894,0.002911369821010368,0.016058062419813446,0.0,-0.035451832140889046,0.005568665935323862,0.5854280199485031,-0.008050499455856203,-0.02530139355055369,0.0,469.9010086254661,468.6692297974631,469.38733303610036,468.7025135169915
0.36000000000000004,-0.006083070077400789,0.0009534653316409828,10.102359116706836,0.010463668013659166,0.014701073051390345,0.0,-0.04653383808274689,0.009322236119776702,0.7056411448800652,0.02182491822690706,-0.031059100853141442,0.0,443.76723727003036,443.29425058344793,442.58641085666267,445.0381189746013
0.4200000000000001,-0.009238581798380864,0.0017979702344657054,10.1521770485096,0.01553990216537926,0.013498833805377863,0.0,-0.058488663611780824,0.01943096803549973,0.9547766379832167,0.041919134534346925,-0.023270503760292945,0.0,483.3914929937525,483.9778215948009,480.5235654060362,482.04440361502805
0.48000000000000015,-0.013049321333248978,0.0033014274819928766,10.212271928066665,0.020972566547227345,0.02058800071193634,0.0,-0.06922016102189558,0.031213994082148623,1.0482838954729554,0.0594683352532097,0.007462025485482575,0.0,434.904508950584,437.470757653369,434.738271981099,436.2075244399489
0.5400000000000001,-0.017658355970140593,0.005647687509798672,10.279376418182535,0.024669776340515703,0.022079558272026567,0.0,-0.08456187877016437,0.047387526038933404,1.1883842060566525,0.06238307489283159,0.017518147073609266,0.0,450.26291793725545,451.0755226076484,450.53879677504557,450.7769060390946
0.6000000000000002,-0.023326947046610595,0.00912282535989201,10.357852341510862,0.028958141133905713,0.03159907191916034,0.0,-0.10559213355619435,0.06895961390887019,1.4271665655793977,0.06936111117084727,-0.015582468818994975,0.0,482.39065051240703,479.8848523393985,479.5404873444914,480.0729424913047
0.6600000000000003,-0.03035429205098612,0.013922168028351677,10.447808324755185,0.0348462934238043,0.030676327758830446,0.0,-0.12855026769929115,0.09166874533507806,1.5711598303173524,0.05371707397512635,-0.018486794641607827,0.0,452.89190341845296,452.65835682061635,453.5931616456572,452.33815627970466
0.7200000000000003,-0.03860165788475439,0.020026007525394806,10.54140630608857,0.03841344678826619,0.03424369151031126,0.0,-0.14668368531791395,0.11209870394929997,1.548779919874574,0.04597948650206865,-0.043406715858429645,0.0,400.5666733893668,398.293917430286,398.86183888047645,398.156623770625
0.7800000000000004,-0.048123327854877315,0.02758371047759167,10.63798432632613,0.04181218304321632,0.03164226110239898,0.0,-0.17042647794430135,0.14016738407947837,1.6703100197625929,0.05362436555291012,-0.04326632832633715,0.0,446.1618617002325,446.17228269205145,446.2177462150673,446.84278338187954
0.8400000000000004,-0.05897756149800709,0.036832294522925975,10.740073289041746,0.04810671718162851,0.03462014975169314,0.0,-0.19164251764162368,0.16870329352459854,1.7325242248632662,0.07167730979171673,-0.0185762647516713,0.0,426.3593532018309,428.4628183512822,427.54822034506617,429.08612443316554
0.9000000000000005,-0.07112891223503384,0.047877218859523396,10.845212084305203,0.05252965998407344,0.034359516441054616,0.0,-0.21336876675224425,0.19987334192671694,1.7720179187004463,0.06646221806997626,-0.009582522147230604,0.0,419.6322007227949,420.41221444170475,421.58329450175046,421.13650046526385
0.9600000000000005,-0.08461306163479766,0.06092363095545757,10.953585309291702,0.05732209052870285,0.03486105677422202,0.0,-0.23616135767305865,0.23547698936637854,1.8402815783892956,0.05536211663723673,-0.0222114180729618,0.0,429.8254173263439,428.753973050796,431.79792982644597,430.8635575698773
1.0200000000000005,-0.09953930650204475,0.07632472924698425,11.068118138509542,0.06346033881376911,0.03351636999503249,0.0,-0.261230193048412,0.2785194450408999,1.977211731931111,0.07258520213654451,-0.023409650806875994,0.0,452.5502618529047,452.45378726844297,451.43627688338756,452.82641386024426
1.0800000000000005,-0.1159821745581041,0.09451520076355921,11.192094455980131,0.06784419649668028,0.032190122977494795,0.0,-0.2867105567395466,0.32830333147388835,2.154977087120175,0.07359621325749244,-0.02790218047792057,0.0,465.43551019762623,465.0837262984773,465.3021995507487,465.38519903357866
1.1400000000000006,-0.13389968400405017,0.11574625209530769,11.326035466368857,0.07235071562723672,0.03053662420479597,0.0,-0.31034863367429477,0.3798761857571163,2.3093842140984586,0.06888427866242626,-0.027123378494899267,0.0,458.99698561030044,459.05862064724437,459.14743887815337,458.77730569756045
